t,t1,t2,t3,t4,hour_sin,hour_cos,dayofweek,target
25.0,41.0,42.0,30.0,24.0,0.6915130557822694,0.7223639620597556,1,37.0
15.0,23.0,39.0,38.0,27.0,0.5555702330196022,0.8314696123025452,1,34.0
22.0,27.0,34.0,26.0,30.0,0.4226182617406994,0.9063077870366499,1,25.0
49.0,46.0,44.0,40.0,38.0,0.9396926207859084,-0.3420201433256685,6,49.0
13.0,13.0,13.0,13.0,13.0,0.7933533402912352,0.6087614290087207,2,13.0
141.0,144.0,140.0,135.0,134.0,-0.9396926207859085,0.34202014332566816,0,127.0
104.0,139.0,127.0,131.0,123.0,-0.9914448613738105,0.13052619222005127,5,136.0
50.0,32.0,32.0,21.0,26.0,0.9396926207859084,0.3420201433256686,0,47.0
218.0,214.0,154.0,186.0,206.0,-0.9659258262890684,0.2588190451025203,0,146.0
0.0,0.0,0.0,0.0,0.0,-0.8314696123025452,-0.5555702330196022,6,0.0
147.0,141.0,133.0,125.0,117.0,0.9807852804032304,-0.1950903220161282,1,148.0
10.0,13.0,10.0,11.0,8.0,0.4226182617406994,0.9063077870366499,4,14.0
151.0,134.0,152.0,148.0,155.0,-0.7660444431189781,0.6427876096865393,5,142.0
154.0,149.0,143.0,136.0,146.0,0.48098876891938763,-0.8767267557075077,4,149.0
87.0,109.0,126.0,89.0,102.0,0.3214394653031616,0.9469301294951057,6,86.0
128.0,131.0,104.0,113.0,130.0,0.5735764363510464,-0.8191520442889916,5,148.0
43.0,35.0,34.0,21.0,23.0,0.5187732581605214,0.8549118706729466,4,37.0
94.0,107.0,112.0,132.0,113.0,1.0,6.123233995736766e-17,5,128.0
105.0,91.0,91.0,88.0,92.0,0.6427876096865393,0.766044443118978,0,86.0
150.0,106.0,138.0,146.0,173.0,-0.9807852804032304,0.1950903220161283,0,144.0
